name,description,retail price,wholesale price,minimum quantity,stock/status,note,photo,category,sku,bulk price,sort order
"100× Mixed USB Cables — Grade A — Car Boot Box","USB-C ×40 · Micro USB ×35 · Lightning ×25. New/open-box. Car boot resale £2–£4 each. Core wholesale line.",45.00,35.00,1,available,"MOQ 3+ → £33/box. SKU: AYLE-CABLE-100A",,Cables,AYLE-CABLE-100A,33.00,10
"100× Mixed Phone Cases — Grade A — iPhone/Samsung","iPhone 12–15 ×40 · Samsung A/S ×35 · Universal ×25. Clean resale-ready cases.",55.00,40.00,1,available,"MOQ 3+ → £38/box. SKU: AYLE-CASE-100A",,Phone Cases,AYLE-CASE-100A,38.00,20
"50× Mixed Phone Chargers — Grade B — Untested","Wall USB-A ×25 · USB-C PD ×15 · Dual-port ×10. Amazon returns style. Untested.",70.00,55.00,1,available,"MOQ 3+ → £52/box. SKU: AYLE-CHRG-50B",,Chargers,AYLE-CHRG-50B,52.00,30
"100× Tempered Glass Screen Protectors — Grade A","Mixed iPhone/Samsung models. New/open-box. Sell £1.50–£3 each.",35.00,25.00,1,available,"Pairs with case box. SKU: AYLE-PROT-100A",,Phone Cases,AYLE-PROT-100A,23.00,40
"Weekend Trader Bundle — 125 pcs Car Boot Starter","50 cables (A) + 50 cases (A) + 25 chargers (B). #1 bundle for new traders.",125.00,95.00,1,available,"Bestseller bundle. SKU: AYLE-BUNDLE-WKND",,Job Lots,AYLE-BUNDLE-WKND,90.00,5
"50× Mixed Earphones — Grade B — Untested","Wired ×30 · Basic Bluetooth ×15 · On-ear ×5. Untested returns mix.",60.00,45.00,1,available,"SKU: AYLE-EAR-50B",,Electronics,AYLE-EAR-50B,42.00,50
"30× Phone Holders — Grade A — Car/Dashboard","Car vent ×10 · Dashboard suction ×10 · Desk stand ×10.",40.00,30.00,1,available,"SKU: AYLE-HOLD-30A",,Phone Cases,AYLE-HOLD-30A,28.00,60
"40× Car Chargers — Grade A — 12V USB","Single USB ×20 · Dual USB ×12 · USB-C PD ×8. Visual check only.",45.00,35.00,1,available,"SKU: AYLE-CARCHG-40A",,Chargers,AYLE-CARCHG-40A,33.00,70
"50× Smart Watch Straps — Grade A","Universal 20/22mm ×25 · Apple-size ×15 · Samsung ×10.",28.00,20.00,1,available,"SKU: AYLE-STRAP-50A",,Phone Cases,AYLE-STRAP-50A,19.00,80
"20× Power Banks — Grade B — Untested","5000–10000mAh mix. Untested. UK USB charging.",65.00,50.00,1,available,"SKU: AYLE-PBANK-20B",,Electronics,AYLE-PBANK-20B,47.00,90
"30× LED Lights — Grade A — USB/Rechargeable","Ring light ×10 · LED strip ×10 · Mini torch ×10.",45.00,35.00,1,available,"SKU: AYLE-LED-30A",,Electronics,AYLE-LED-30A,33.00,100
"40× Amazon Returns Accessories — Grade B","Cables ×10 · Cases ×10 · Holders ×8 · Chargers ×7 · Misc ×5. VIP Thu.",58.00,45.00,1,available,"VIP early 24h. SKU: AYLE-AMZ-ACC-40B",,Amazon Returns,AYLE-AMZ-ACC-40B,42.00,110
"30× Amazon Returns Electronics — Grade B","Small appliances ×8 · Gadgets ×10 · Cables/accessories ×12. VIP Thu.",68.00,55.00,1,available,"VIP early 48h. SKU: AYLE-AMZ-ELEC-30B",,Amazon Returns,AYLE-AMZ-ELEC-30B,52.00,120
"15× Bluetooth Speakers — Grade B — Untested","Portable BT speakers mix. Untested. Demo one at car boot.",75.00,60.00,1,low,"SKU: AYLE-BTSPK-15B",,Electronics,AYLE-BTSPK-15B,57.00,130
"20× Mixed Laptop Chargers — Grade B — Untested","Dell ×7 · HP ×7 · USB-C universal ×6. Untested.",85.00,70.00,1,available,"SKU: AYLE-LAPCHG-20B",,Chargers,AYLE-LAPCHG-20B,66.00,140
"25× Kids Electronics — Grade B — Toys/Gadgets","LED toys ×10 · mini fans ×5 · kids headphones ×5 · misc ×5.",52.00,40.00,1,available,"Seasonal — spring/summer. SKU: AYLE-KIDS-25B",,Electronics,AYLE-KIDS-25B,38.00,150
"20× Smart Home Mix — Grade B — Untested","Smart plugs ×8 · LED bulbs ×7 · sensors ×5. UK plug only.",68.00,55.00,1,available,"SKU: AYLE-SMART-20B",,Electronics,AYLE-SMART-20B,52.00,160
"25× Selfie Sticks & Mini Tripods — Grade A","Selfie stick ×15 · mini tripod ×10.",35.00,25.00,1,available,"SKU: AYLE-TRIP-25A",,Phone Cases,AYLE-TRIP-25A,23.00,170
"30× Gaming Accessories — Grade B — Untested","Controller grips ×10 · headsets ×8 · HDMI/USB cables ×12.",62.00,50.00,1,available,"SKU: AYLE-GAME-30B",,Electronics,AYLE-GAME-30B,47.00,180
"15× Refurb-Ready Electronics — Grade B","Gadgets, keyboards, mice, webcams. For experienced eBay resellers.",78.00,65.00,1,available,"SKU: AYLE-REFURB-15B",,Electronics,AYLE-REFURB-15B,61.00,190
