sku,name,shortTitle,category,price,wholesalePrice,minQty,unitCount,grade,stock,stockStatus,badge,listingPolicyId,conditionDesc,desc,tags,wholesaleNote,pickupNote,vipEarly
AYLE-CABLE-100A,"100× Mixed USB Cables — Grade A — USB-C / Micro / Lightning — Car Boot Box","100× USB Cables Grade A — Car Boot Box",cables,45.00,35.00,1,100,A,50,available,Car Boot Ready,policy_new_open_box,"New or open-box cables. Visual check passed. No fraying or bent pins.","Wholesale cable box for car boot traders. Breakdown: USB-C ×40 · Micro USB ×35 · Lightning ×25. Resale £2–£4 each. MOQ 3+ → −5%.","cables,usb-c,micro-usb,lightning,100pcs,car-boot,wholesale-box,grade-a","Core line — replenished weekly.","Saturday pickup preferred.",no
AYLE-CASE-100A,"100× Mixed Phone Cases — Grade A — iPhone / Samsung — Car Boot Box","100× Phone Cases Grade A — iPhone/Samsung",accessories,55.00,40.00,1,100,A,50,available,Car Boot Ready,policy_new_open_box,"New or open-box cases. No cracks or heavy scratches.","Model mix: iPhone 12–15 ×40 · Samsung A/S ×35 · Universal ×25. Sell £2–£5 each.","phone-cases,iphone,samsung,100pcs,car-boot,grade-a","Core line — replenished weekly.","Fits in standard car boot.",no
AYLE-CHRG-50B,"50× Mixed Phone Chargers — Grade B — Wall / USB — Untested — Car Boot Box","50× Mixed Chargers Grade B — Untested",job-lots,70.00,55.00,1,50,B,40,available,Car Boot Ready,policy_amazon_returns,"Untested mixed chargers. Amazon returns style. Sold as seen.","Breakdown: Wall USB-A ×25 · USB-C PD ×15 · Dual-port ×10. Resale £3–£6 each.","chargers,wall-charger,usb-c,50pcs,untested,car-boot,grade-b","Order before Friday for weekend pickup.","Collection recommended.",no
AYLE-PROT-100A,"100× Tempered Glass Screen Protectors — Grade A — Mixed Models","100× Screen Protectors Grade A",accessories,35.00,25.00,1,100,A,40,available,Car Boot Ready,policy_new_open_box,"New or open-box tempered glass. No cracks in glass.","Mixed iPhone and Samsung models. Sell £1.50–£3 each. Pair with case box.","screen-protector,tempered-glass,100pcs,car-boot,grade-a","Stack with CASE-100A for bundle.","Keep flat in transit.",no
AYLE-BUNDLE-WKND,"Weekend Trader Bundle — 50 Cables + 50 Cases + 25 Chargers — Car Boot Starter","Weekend Trader Bundle — Car Boot Starter",job-lots,125.00,95.00,1,125,mixed,30,available,Car Boot Ready,policy_job_lot_no_individual_returns,"Bundle: cables & cases Grade A; chargers Grade B untested. Sold as one lot.","Everything for one car boot weekend. Combined resale £350–£500. #1 bundle for new traders.","bundle,car-boot,weekend-trader,cables,cases,chargers","Bestseller — prioritise stock.","2 boxes — allow extra boot space.",no
AYLE-EAR-50B,"50× Mixed Earphones — Grade B — Wired / Bluetooth — Untested","50× Earphones Grade B — Untested",accessories,60.00,45.00,1,50,B,25,available,Car Boot Ready,policy_amazon_returns,"Untested mix. Wired and basic Bluetooth.","Breakdown: Wired ×30 · Bluetooth ×15 · On-ear ×5. Resale £3–£8 each.","earphones,earbuds,50pcs,untested,car-boot,grade-b","","Standard collection.",no
AYLE-HOLD-30A,"30× Phone Holders — Grade A — Car / Dashboard / Desk Mounts","30× Phone Holders Grade A",accessories,40.00,30.00,1,30,A,30,available,Car Boot Ready,policy_new_open_box,"New or open-box. Clamps and suction cups visually intact.","Car vent ×10 · Dashboard ×10 · Desk stand ×10. Sell £5–£10 each.","phone-holder,car-mount,30pcs,car-boot,grade-a","","",no
AYLE-CARCHG-40A,"40× Car Chargers — Grade A — 12V USB / USB-C","40× Car Chargers Grade A",accessories,45.00,35.00,1,40,A,35,available,Car Boot Ready,policy_new_open_box,"New or open-box 12V chargers. Visual check only.","Single USB ×20 · Dual USB ×12 · USB-C PD ×8. Sell £3–£6 each.","car-charger,12v,40pcs,car-boot,grade-a","","",no
AYLE-STRAP-50A,"50× Smart Watch Straps — Grade A — Universal / Apple / Samsung","50× Watch Straps Grade A",accessories,28.00,20.00,1,50,A,30,available,Car Boot Ready,policy_new_open_box,"New or open-box silicone/sport bands. No broken clasps.","Universal ×25 · Apple-size ×15 · Samsung ×10. Sell £2–£4 each.","watch-strap,smartwatch,50pcs,grade-a","","",no
AYLE-PBANK-20B,"20× Power Banks — Grade B — 5000–10000mAh — Untested","20× Power Banks Grade B — Untested",electronics,65.00,50.00,1,20,B,20,available,Car Boot Ready,policy_amazon_returns,"Untested. Capacity not verified. UK USB charging.","Mixed brands 5000–10000mAh. Sell £8–£15 each.","power-bank,portable-charger,20pcs,grade-b","","",no
AYLE-LED-30A,"30× LED Lights — Grade A — USB / Rechargeable","30× LED Lights Grade A",electronics,45.00,35.00,1,30,A,25,available,Car Boot Ready,policy_new_open_box,"New or open-box ring lights, strips, torches.","Ring light ×10 · LED strip ×10 · Mini torch ×10. Sell £5–£10 each.","led,ring-light,30pcs,car-boot,grade-a","","",no
AYLE-BTSPK-15B,"15× Bluetooth Speakers — Grade B — Portable — Untested","15× BT Speakers Grade B — Untested",electronics,75.00,60.00,1,15,B,15,low,Car Boot Ready,policy_amazon_returns,"Untested portable Bluetooth speakers.","Small portable speakers mix. Sell £10–£18 each. Demo one at car boot.","bluetooth-speaker,15pcs,untested,grade-b","","",no
AYLE-AMZ-ACC-40B,"40× Amazon Returns Accessories Mix — Grade B — Untested","40× Amazon Returns Accessories Grade B",job-lots,58.00,45.00,1,40,B,20,available,Amazon Returns,policy_amazon_returns,"Amazon customer returns accessories. Untested.","Cables ×10 · Cases ×10 · Holders ×8 · Chargers ×7 · Misc ×5.","amazon-returns,accessories,40pcs,untested,grade-b","VIP preview 24h before public.","",yes
AYLE-LAPCHG-20B,"20× Mixed Laptop Chargers — Grade B — Dell / HP / USB-C — Untested","20× Laptop Chargers Grade B — Untested",job-lots,85.00,70.00,1,20,B,15,available,Wholesale Box,policy_amazon_returns,"Untested laptop power adapters. Mixed connectors.","Dell ×7 · HP ×7 · USB-C ×6. Resale £8–£15 each on eBay.","laptop-charger,dell,hp,20pcs,grade-b","","",no
AYLE-KIDS-25B,"25× Kids Electronics Mix — Grade B — Toys / Gadgets","25× Kids Electronics Grade B",electronics,52.00,40.00,1,25,B,20,available,Car Boot Ready,policy_amazon_returns,"Untested kids electronics. Buyer to check UK safety for resale.","LED toys ×10 · mini fans ×5 · headphones ×5 · misc ×5. Peak: spring/summer.","kids,toys,25pcs,grade-b","Seasonal stock.","",no
AYLE-SMART-20B,"20× Smart Home Mix — Grade B — Plugs / Bulbs / Sensors — Untested","20× Smart Home Grade B — Untested",electronics,68.00,55.00,1,20,B,18,available,Wholesale Box,policy_amazon_returns,"Untested smart home. UK plug only. Wi-Fi not tested.","Smart plugs ×8 · LED bulbs ×7 · sensors ×5. Resale £8–£15 each.","smart-home,smart-plug,20pcs,grade-b","","",no
AYLE-TRIP-25A,"25× Selfie Sticks & Mini Tripods — Grade A","25× Selfie Sticks & Tripods Grade A",accessories,35.00,25.00,1,25,A,25,available,Car Boot Ready,policy_new_open_box,"New or open-box. Telescopic mechanism visually OK.","Selfie stick ×15 · mini tripod ×10. Sell £4–£8 each.","selfie-stick,tripod,25pcs,grade-a","","",no
AYLE-GAME-30B,"30× Gaming Accessories Mix — Grade B — Untested","30× Gaming Accessories Grade B",electronics,62.00,50.00,1,30,B,18,available,Wholesale Box,policy_amazon_returns,"Untested gaming accessories mix.","Grips ×10 · headsets ×8 · HDMI/USB cables ×12. Resale £5–£12 each.","gaming,controller,headset,30pcs,grade-b","","",no
AYLE-REFURB-15B,"15× Refurb-Ready Electronics — Grade B — Gadgets Mix — Untested","15× Refurb Electronics Grade B",electronics,78.00,65.00,1,15,B,12,available,Wholesale Box,policy_amazon_returns,"Untested electronics for eBay refurb/resale.","Gadgets, keyboards, mice, webcams. For experienced resellers.","refurb,electronics,gadgets,15pcs,grade-b","","",no
AYLE-AMZ-ELEC-30B,"30× Amazon Returns Electronics Mix — Grade B — Untested","30× Amazon Returns Electronics Grade B",job-lots,68.00,55.00,1,30,B,22,available,Amazon Returns,policy_amazon_returns,"Amazon customer returns electronics. Untested. UK plug only.","Small appliances ×8 · gadgets ×10 · cables/accessories ×12. Resale £6–£12 each.","amazon-returns,electronics,30pcs,untested,grade-b","VIP preview 48h → public Thursday.","",yes
